time,track_id,label,similarity,x1,y1,x2,y2,area_ratio
Wed Dec  3 11:34:16 2025,3,HUMAN,0.000,588,11,639,472,0.07653
Wed Dec  3 11:34:17 2025,1,HUMAN,0.000,303,246,591,479,0.21844
Wed Dec  3 11:34:17 2025,3,HUMAN,0.000,598,9,639,464,0.06073
Wed Dec  3 11:34:18 2025,1,HUMAN,0.000,300,247,587,479,0.21674
Wed Dec  3 11:34:18 2025,3,HUMAN,0.000,600,13,639,469,0.05789
Wed Dec  3 11:34:19 2025,1,HUMAN,0.000,303,246,596,479,0.22223
Wed Dec  3 11:34:19 2025,3,HUMAN,0.000,570,25,639,477,0.10152
Wed Dec  3 11:34:20 2025,1,HUMAN,0.000,301,245,598,479,0.22623
Wed Dec  3 11:34:21 2025,3,HUMAN,0.000,547,31,639,479,0.13417
Wed Dec  3 11:34:22 2025,1,HUMAN,0.000,299,247,587,479,0.21750
Wed Dec  3 11:34:22 2025,3,HUMAN,0.000,524,17,639,458,0.16509
Wed Dec  3 11:34:23 2025,1,HUMAN,0.000,299,247,582,479,0.21372
Wed Dec  3 11:34:24 2025,3,HUMAN,0.289,516,25,639,472,0.17897
Wed Dec  3 11:34:25 2025,1,HUMAN,0.000,303,245,587,479,0.21633
Wed Dec  3 11:34:25 2025,3,HUMAN,0.000,541,14,639,476,0.14738
Wed Dec  3 11:34:26 2025,1,HUMAN,0.000,297,244,582,479,0.21802
Wed Dec  3 11:34:27 2025,3,HUMAN,0.251,546,10,639,468,0.13865
Wed Dec  3 11:34:27 2025,1,HUMAN,0.000,295,244,574,479,0.21343
Wed Dec  3 11:34:28 2025,3,HUMAN,0.000,544,16,639,470,0.14040
Wed Dec  3 11:34:29 2025,1,HUMAN,0.000,302,244,586,479,0.21725
Wed Dec  3 11:34:30 2025,3,HUMAN,0.000,514,22,639,474,0.18392
Wed Dec  3 11:34:30 2025,1,HUMAN,0.000,336,226,637,479,0.24789
Wed Dec  3 11:34:31 2025,3,HUMAN,0.000,566,0,639,467,0.11097
Wed Dec  3 11:34:32 2025,1,HUMAN,0.000,291,227,587,479,0.24281
Wed Dec  3 11:34:32 2025,3,HUMAN,0.000,535,11,639,473,0.15641
Wed Dec  3 11:34:33 2025,1,HUMAN,0.000,297,227,594,479,0.24363
Wed Dec  3 11:34:34 2025,3,HUMAN,0.320,509,8,639,475,0.19762
Wed Dec  3 11:34:35 2025,1,HUMAN,0.000,299,221,585,479,0.24020
Wed Dec  3 11:34:35 2025,3,FOE,0.382,510,35,639,479,0.18645
Wed Dec  3 11:34:36 2025,1,HUMAN,0.000,277,205,569,479,0.26044
Wed Dec  3 11:34:37 2025,3,HUMAN,0.505,462,42,639,478,0.25121
Wed Dec  3 11:34:38 2025,1,HUMAN,0.000,268,212,578,479,0.26943
Wed Dec  3 11:34:39 2025,1,HUMAN,0.000,303,210,608,479,0.26707
Wed Dec  3 11:34:40 2025,1,HUMAN,0.000,293,133,616,479,0.36380
Wed Dec  3 11:34:41 2025,5,HUMAN,0.000,358,123,433,272,0.03638
Wed Dec  3 11:34:42 2025,1,HUMAN,0.000,284,223,637,479,0.29417
Wed Dec  3 11:34:43 2025,1,HUMAN,0.000,282,220,639,479,0.30099
Wed Dec  3 11:34:44 2025,1,HUMAN,0.000,283,220,639,479,0.30014
Wed Dec  3 11:34:45 2025,6,HUMAN,0.061,459,46,560,213,0.05491
Wed Dec  3 11:34:46 2025,1,HUMAN,0.000,289,80,625,479,0.43641
Wed Dec  3 11:34:47 2025,1,HUMAN,0.000,284,185,606,479,0.30816
Wed Dec  3 11:34:47 2025,7,HUMAN,0.065,162,172,294,320,0.06359
Wed Dec  3 11:34:49 2025,8,HUMAN,0.058,330,378,471,479,0.04636
Wed Dec  3 11:34:50 2025,1,HUMAN,0.075,403,184,502,361,0.05704
Wed Dec  3 11:34:50 2025,9,HUMAN,0.000,0,341,36,479,0.01617
Wed Dec  3 11:34:52 2025,8,FOE,0.063,166,287,513,479,0.21687
Wed Dec  3 11:34:53 2025,1,FOE,0.074,368,150,475,304,0.05364
Wed Dec  3 11:34:54 2025,8,FOE,0.065,135,234,495,479,0.28711
Wed Dec  3 11:34:55 2025,10,HUMAN,0.000,573,190,639,479,0.06209
Wed Dec  3 11:34:55 2025,9,HUMAN,0.000,0,340,30,479,0.01357
Wed Dec  3 11:34:56 2025,1,FOE,0.073,368,159,477,329,0.06032
Wed Dec  3 11:34:57 2025,8,FOE,0.065,142,252,494,479,0.26010
Wed Dec  3 11:34:58 2025,1,FOE,0.073,349,166,463,323,0.05826
Wed Dec  3 11:34:59 2025,8,FOE,0.068,147,249,477,479,0.24707
Wed Dec  3 11:34:59 2025,10,HUMAN,0.000,608,181,639,463,0.02846
Wed Dec  3 11:35:01 2025,10,HUMAN,0.662,438,136,639,479,0.22442
Wed Dec  3 11:35:01 2025,9,HUMAN,0.000,0,351,41,479,0.01708
Wed Dec  3 11:35:02 2025,10,FRIEND,0.659,471,126,639,479,0.19305
Wed Dec  3 11:35:03 2025,9,HUMAN,0.000,0,362,86,479,0.03275
Wed Dec  3 11:35:04 2025,10,HUMAN,0.000,538,162,639,479,0.10422
Wed Dec  3 11:35:05 2025,9,HUMAN,0.000,0,362,85,479,0.03237
Wed Dec  3 11:35:06 2025,1,HUMAN,0.000,325,131,605,479,0.31719
Wed Dec  3 11:35:07 2025,9,HUMAN,0.069,0,370,106,479,0.03761
Wed Dec  3 11:35:07 2025,10,HUMAN,0.000,568,27,639,478,0.10424
Wed Dec  3 11:35:08 2025,1,HUMAN,0.000,304,124,567,479,0.30392
Wed Dec  3 11:35:09 2025,10,HUMAN,0.625,474,26,639,479,0.24331
Wed Dec  3 11:35:09 2025,9,HUMAN,0.000,0,372,56,479,0.01951
Wed Dec  3 11:35:10 2025,1,HUMAN,0.000,297,128,554,479,0.29364
